name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
Ornithinimicrobium sp. AMA3305,2283195,S,241,151,392,0.000268698
Phycicoccus dokdonensis,443156,S,71,37,108,7.40E-05
Arsenicicoccus sp. oral taxon 190,1658671,S,55,47,102,6.99E-05
Intrasporangium calvum,53358,S,20,8,28,1.92E-05
Brachybacterium ginsengisoli,1331682,S,122,238,360,0.000246764
Brachybacterium sp. P6-10-X1,1903186,S,57,59,116,7.95E-05
Brachybacterium sp. VR2415,2017485,S,50,169,219,0.000150115
Brachybacterium sp. VM2412,2017484,S,38,127,165,0.0001131
Brachybacterium saurashtrense,556288,S,37,69,106,7.27E-05
Brachybacterium faecium,43669,S,27,61,88,6.03E-05
Dermabacter vaginalis,1630135,S,129,138,267,0.000183016
Devriesea agamarum,472569,S,44,15,59,4.04E-05
Dermacoccus nishinomiyaensis,1274,S,279,135,414,0.000283778
Kytococcus sedentarius,1276,S,211,146,357,0.000244707
Beutenbergia cavernae,84757,S,364,151,515,0.000353009
Cellulomonas sp. PSBB021,2003551,S,63,125,188,0.000128865
Cellulomonas fimi,1708,S,34,34,68,4.66E-05
Cellulomonas gilvus,11,S,12,17,29,1.99E-05
Paraoerskovia marina,545619,S,22,18,40,2.74E-05
Brevibacterium sandarakinum,629680,S,47,90,137,9.39E-05
Brevibacterium siliguriense,1136497,S,13,34,47,3.22E-05
Cellulosimicrobium cellulans,1710,S,53,47,100,6.85E-05
Cellulosimicrobium sp. TH-20,1980001,S,37,40,77,5.28E-05
Xylanimonas cellulosilytica,186189,S,35,21,56,3.84E-05
Isoptericola dokdonensis,372663,S,19,14,33,2.26E-05
Dermatophilus congolensis,1863,S,92,9,101,6.92E-05
Austwickia chelonae,100225,S,57,7,64,4.39E-05
Sanguibacter keddieii,60920,S,96,59,155,0.000106245
Tropheryma whipplei,2039,S,86,2,88,6.03E-05
Jonesia denitrificans,43674,S,32,5,37,2.54E-05
Dietzia psychralcaliphila,139021,S,2727,7764,10491,0.007191103
Dietzia sp. oral taxon 368,712270,S,766,6238,7004,0.004800923
Dietzia timorensis,499555,S,186,1015,1201,0.000823231
Dietzia lutea,546160,S,177,1354,1531,0.001049431
Dietzia sp. JS16-p6b,2052657,S,176,491,667,0.000457198
Rhodococcus ruber,1830,S,188,486,674,0.000461996
Rhodococcus sp. PBTS 1,1653478,S,105,145,250,0.000171364
Rhodococcus sp. B7740,1564114,S,68,57,125,8.57E-05
Rhodococcus sp. YL-1,1045808,S,61,1680,1741,0.001193376
Rhodococcus sp. BH4,1807790,S,46,1640,1686,0.001155676
Rhodococcus hoagii,43767,S,40,61,101,6.92E-05
Rhodococcus sp. S2-17,1990687,S,35,36,71,4.87E-05
Rhodococcus aetherivorans,191292,S,34,1180,1214,0.000832142
Rhodococcus sp. 008,1723645,S,33,1125,1158,0.000793756
Nocardia brasiliensis,37326,S,34,48,82,5.62E-05
Nocardia terpenica,455432,S,13,16,29,1.99E-05
Nocardia soli,134962,S,10,16,26,1.78E-05
Nocardia cyriacigeorgica,135487,S,10,24,34,2.33E-05
Corynebacterium striatum,43770,S,237,90,327,0.000224144
Corynebacterium diphtheriae,1717,S,165,6930,7095,0.0048633
Corynebacterium pseudotuberculosis,1719,S,130,24,154,0.00010556
Corynebacterium kroppenstedtii,161879,S,117,14,131,8.98E-05
Corynebacterium jeikeium,38289,S,104,74,178,0.000122011
Corynebacterium ureicelerivorans,401472,S,99,49,148,0.000101447
Corynebacterium cystitidis,35757,S,96,8,104,7.13E-05
Corynebacterium efficiens,152794,S,94,26,120,8.23E-05
Corynebacterium imitans,156978,S,81,51,132,9.05E-05
Corynebacterium aquilae,203263,S,77,18,95,6.51E-05
Corynebacterium aurimucosum,169292,S,76,15,91,6.24E-05
Corynebacterium phocae,161895,S,64,7,71,4.87E-05
Corynebacterium urealyticum,43771,S,54,40,94,6.44E-05
Corynebacterium glutamicum,1718,S,53,2430,2483,0.001701984
Corynebacterium maris,575200,S,40,11,51,3.50E-05
Corynebacterium sp. 2183,2080740,S,37,12,49,3.36E-05
Corynebacterium flavescens,28028,S,36,5,41,2.81E-05
Corynebacterium camporealensis,161896,S,28,8,36,2.47E-05
Corynebacterium timonense,441500,S,27,7,34,2.33E-05
Corynebacterium sp. ATCC 6931,1487956,S,25,16,41,2.81E-05
Corynebacterium variabile,1727,S,25,13,38,2.60E-05
Corynebacterium deserti,1408191,S,23,4,27,1.85E-05
Corynebacterium doosanense,1121358,S,23,8,31,2.12E-05
Corynebacterium vitaeruminis,38305,S,22,9,31,2.12E-05
Corynebacterium mustelae,571915,S,20,1,21,1.44E-05
Corynebacterium resistens,258224,S,19,6,25,1.71E-05
Corynebacterium atypicum,191610,S,18,4,22,1.51E-05
Corynebacterium sphenisci,191493,S,17,11,28,1.92E-05
Corynebacterium stationis,1705,S,15,10,25,1.71E-05
Corynebacterium genitalium,38288,S,15,3,18,1.23E-05
Corynebacterium glaucum,187491,S,14,3,17,1.17E-05
Corynebacterium sp. 2184,2079535,S,14,4,18,1.23E-05
Corynebacterium riegelii,156976,S,11,2,13,8.91E-06
Corynebacterium casei,160386,S,10,1,11,7.54E-06
Corynebacterium simulans,146827,S,10,2,12,8.23E-06
Corynebacterium callunae,1721,S,10,2,12,8.23E-06
Corynebacterium minutissimum,38301,S,10,2,12,8.23E-06
Mycobacterium leprae,1769,S,107,4,111,7.61E-05
Mycobacterium simiae,1784,S,53,35,88,6.03E-05
Mycobacterium tuberculosis,1773,S,34,977,1011,0.000692995
Mycobacterium marinum,1781,S,31,13,44,3.02E-05
Mycobacterium dioxanotrophicus,482462,S,30,19,49,3.36E-05
Mycobacterium ulcerans,1809,S,26,33,59,4.04E-05
Mycobacterium sp. EPa45,1545728,S,22,8,30,2.06E-05
Mycobacterium sp. YC-RL4,1682113,S,18,24,42,2.88E-05
Mycobacterium sp. JLS,164757,S,11,17,28,1.92E-05
Mycobacterium sp. JS623,212767,S,10,2,12,8.23E-06
Mycolicibacterium litorale,758802,S,42,19,61,4.18E-05
Mycolicibacterium vaccae,1810,S,36,24,60,4.11E-05
Mycolicibacterium phlei,1771,S,16,17,33,2.26E-05
Mycolicibacterium goodii,134601,S,15,13,28,1.92E-05
Mycolicibacterium neoaurum,1795,S,12,6537,6549,0.004489042
Mycolicibacterium rutilum,370526,S,12,9,21,1.44E-05
[Mycobacterium] stephanolepidis,1520670,S,47,31,78,5.35E-05
Mycolicibacter sinensis,875328,S,22,17,39,2.67E-05
Lawsonella clevelandensis,1528099,S,1262,759,2021,0.001385304
Gordonia iterans,1004901,S,94,223,317,0.000217289
Gordonia terrae,2055,S,57,84,141,9.66E-05
Gordonia polyisoprenivorans,84595,S,39,33,72,4.94E-05
Gordonia rubripertincta,36822,S,22,44,66,4.52E-05
Gordonia sp. YC-JH1,2059875,S,12,64,76,5.21E-05
Segniliparus rotundus,286802,S,76,19,95,6.51E-05
Cutibacterium acnes,1747,S,24454,11231,35685,0.024460444
Cutibacterium granulosum,33011,S,656,132,788,0.000540138
Cutibacterium avidum,33010,S,204,52,256,0.000175476
Tessaracoccus flavescens,399497,S,248,257,505,0.000346155
Tessaracoccus flavus,1610493,S,172,139,311,0.000213176
Tessaracoccus sp. T2.5-30,1909732,S,95,75,170,0.000116527
Tessaracoccus sp. Marseille-P5995,2161816,S,31,8,39,2.67E-05
Tessaracoccus aquimaris,1332264,S,27,17,44,3.02E-05
Propionibacterium sp. oral taxon 193,671223,S,213,102,315,0.000215918
Propionibacterium freudenreichii,1744,S,97,25,122,8.36E-05
Pseudopropionibacterium propionicum,1750,S,110,11,121,8.29E-05
Microlunatus soli,630515,S,80,11,91,6.24E-05
Microlunatus phosphovorus,29405,S,18,4,22,1.51E-05
Auraticoccus monumenti,675864,S,46,13,59,4.04E-05
Propionimicrobium sp. Marseille-P3275,1871034,S,43,7,50,3.43E-05
Nocardioides dokdonensis,450734,S,366,426,792,0.00054288
Nocardioides sp. JS614,196162,S,323,271,594,0.00040716
Nocardioides sp. CF8,110319,S,310,315,625,0.000428409
Nocardioides sp. 78,2045452,S,117,112,229,0.000156969
Aeromicrobium choanae,1736691,S,125,153,278,0.000190556
Aeromicrobium erythreum,2041,S,59,82,141,9.66E-05
Aeromicrobium marinum,219314,S,37,48,85,5.83E-05
Aeromicrobium sp. 592,2079793,S,28,52,80,5.48E-05
Aeromicrobium sp. A1-2,2107713,S,12,15,27,1.85E-05
Kribbella flavida,182640,S,259,71,330,0.0002262
Actinopolymorpha singaporensis,117157,S,215,35,250,0.000171364
Pimelobacter simplex,2045,S,191,140,331,0.000226885
Micropruina glycogenica,75385,S,149,40,189,0.000129551
Marmoricola scoriae,642780,S,119,112,231,0.00015834
Friedmanniella sagamiharensis,546874,S,43,36,79,5.42E-05
Friedmanniella luteola,546871,S,19,18,37,2.54E-05
Streptomyces lividans,1916,S,29902,97388,127290,0.087251506
Streptomyces bingchenggensis,379067,S,145,12,157,0.000107616
Streptomyces hygroscopicus,1912,S,137,28,165,0.0001131
Streptomyces parvulus,146923,S,112,16,128,8.77E-05
Streptomyces sp. SCSIO 03032,1109743,S,76,8,84,5.76E-05
Streptomyces pristinaespiralis,38300,S,72,317,389,0.000266642
Streptomyces katrae,68223,S,58,8,66,4.52E-05
Streptomyces gilvosporeus,553510,S,44,5,49,3.36E-05
Streptomyces lunaelactis,1535768,S,25,2,27,1.85E-05
Streptomyces sviceus,285530,S,23,159,182,0.000124753
Streptomyces xinghaiensis,1038928,S,18,2,20,1.37E-05
Streptomyces antibioticus,1890,S,17,2,19,1.30E-05
Streptomyces sp. SAT1,1849967,S,15,2,17,1.17E-05
Streptomyces xiamenensis,408015,S,15,1,16,1.10E-05
Streptomyces niveus,193462,S,14,1,15,1.03E-05
Streptomyces albus,1888,S,13,2,15,1.03E-05
Streptomyces lydicus,47763,S,13,2,15,1.03E-05
Streptomyces albulus,68570,S,11,7,18,1.23E-05
Streptomyces sp. CMB-StM0423,2059884,S,10,1,11,7.54E-06
Streptomyces sp. S8,1837283,S,10,1,11,7.54E-06
Actinomyces oris,544580,S,651,533,1184,0.000811578
Actinomyces hongkongensis,178339,S,260,120,380,0.000260473
Actinomyces meyeri,52773,S,143,56,199,0.000136405
Actinomyces sp. oral taxon 414,712122,S,128,158,286,0.00019604
Actinomyces sp. Z16,2079536,S,67,30,97,6.65E-05
Actinomyces sp. oral taxon 897,2081702,S,65,55,120,8.23E-05
Actinomyces sp. VUL4_3,1912795,S,42,6,48,3.29E-05
Actinomyces pacaensis,1852377,S,27,6,33,2.26E-05
Actinomyces radicidentis,111015,S,12,10,22,1.51E-05
Mobiluncus curtisii,2051,S,151,34,185,0.000126809
Actinotignum sp. 313,2171980,S,20,9,29,1.99E-05
Arcanobacterium phocae,131112,S,17,7,24,1.65E-05
Trueperella pyogenes,1661,S,10,8,18,1.23E-05
Gardnerella vaginalis,2702,S,735,250,985,0.000675173
Bifidobacterium adolescentis,1680,S,69,21,90,6.17E-05
Bifidobacterium animalis,28025,S,60,878,938,0.000642956
Bifidobacterium angulatum,1683,S,56,12,68,4.66E-05
Bifidobacterium thermophilum,33905,S,45,7,52,3.56E-05
Bifidobacterium pseudolongum,1694,S,40,14,54,3.70E-05
Bifidobacterium longum,216816,S,40,49,89,6.10E-05
Bifidobacterium pseudocatenulatum,28026,S,26,14,40,2.74E-05
Bifidobacterium choerinum,35760,S,15,4,19,1.30E-05
Scardovia inopinata,78259,S,24,7,31,2.12E-05
Actinoplanes derwentensis,113562,S,302,663,965,0.000661464
Actinoplanes sp. N902-109,649831,S,17,35,52,3.56E-05
Actinoplanes missouriensis,1866,S,13,46,59,4.04E-05
Micromonospora inositola,47865,S,23,26,49,3.36E-05
Micromonospora sp. B006,2201999,S,18,31,49,3.36E-05
Micromonospora narathiwatensis,299146,S,15,17,32,2.19E-05
Micromonospora rifamycinica,291594,S,10,7,17,1.17E-05
Plantactinospora sp. BC1,2108470,S,40,56,96,6.58E-05
Plantactinospora sp. KBS50,2024580,S,15,8,23,1.58E-05
Verrucosispora maris,1003110,S,10,11,21,1.44E-05
Actinoalloteichus sp. AHMU CJ021,2072503,S,124,54,178,0.000122011
Actinoalloteichus hymeniacidonis,340345,S,54,64,118,8.09E-05
Actinoalloteichus hoggarensis,1470176,S,19,66,85,5.83E-05
Pseudonocardia dioxanivorans,240495,S,90,62,152,0.000104189
Pseudonocardia sp. AL041005-10,445576,S,25,66,91,6.24E-05
Pseudonocardia sp. HH130630-07,1690815,S,18,48,66,4.52E-05
Saccharomonospora azurea,40988,S,26,98,124,8.50E-05
Saccharomonospora viridis,1852,S,10,13,23,1.58E-05
Saccharopolyspora erythraea,1836,S,105,75,180,0.000123382
Alloactinosynnema sp. L-07,1653480,S,76,61,137,9.39E-05
Kutzneria albida,43357,S,67,48,115,7.88E-05
Amycolatopsis mediterranei,33910,S,24,-24,0,0
Lentzea guizhouensis,1586287,S,36,29,65,4.46E-05
Allokutzneria albata,211114,S,21,16,37,2.54E-05
Nocardiopsis alba,53437,S,212,44,256,0.000175476
Nocardiopsis dassonvillei,2014,S,103,106,209,0.00014326
Nocardiopsis gilva,280236,S,57,7,64,4.39E-05
Thermobifida fusca,2021,S,50,4,54,3.70E-05
Nonomuraea sp. ATCC 55076,1909395,S,318,32,350,0.000239909
Streptosporangium sp. 'caverna',2202249,S,15,1,16,1.10E-05
Actinomadura amylolytica,1411117,S,103,36,139,9.53E-05
Candidatus Planktophila versatilis,1884905,S,164,148,312,0.000213862
Candidatus Planktophila sulfonica,1884904,S,151,442,593,0.000406475
Candidatus Planktophila lacus,1884913,S,86,81,167,0.000114471
Candidatus Planktophila limnetica,573600,S,29,15,44,3.02E-05
Candidatus Nanopelagicus hibericus,1884915,S,19,245,264,0.00018096
Actinopolyspora erythraea,414996,S,861,69,930,0.000637473
Blastococcus saxobsidens,138336,S,192,133,325,0.000222773
Modestobacter marinus,477641,S,87,59,146,0.000100076
Geodermatophilus obscurus,1861,S,62,47,109,7.47E-05
Frankia sp. QA3,710111,S,30,168,198,0.00013572
Frankia inefficax,298654,S,21,12,33,2.26E-05
Frankia symbiont of Datisca glomerata,656024,S,12,12,24,1.65E-05
Actinobacteria bacterium IMCC26256,1650658,S,257,2,259,0.000177533
Nakamurella panacisegetis,1090615,S,105,9,114,7.81E-05
Nakamurella multipartita,53461,S,63,7,70,4.80E-05
Catenulispora acidiphila,304895,S,93,8,101,6.92E-05
Kineococcus radiotolerans,131568,S,47,7,54,3.70E-05
Acidothermus cellulolyticus,28049,S,38,1,39,2.67E-05
Stackebrandtia nassauensis,283811,S,36,2,38,2.60E-05
Jiangella sp. DSM 45060,1798224,S,11,16,27,1.85E-05
Thermobispora bispora,2006,S,28,3,31,2.12E-05
Olsenella sp. oral taxon 807,712411,S,136,57,193,0.000132293
Olsenella sp. GAM18,2109685,S,59,159,218,0.000149429
Olsenella sp. Marseille-P2300,1805478,S,17,26,43,2.95E-05
Olsenella umbonata,604330,S,14,28,42,2.88E-05
Atopobium parvulum,1382,S,42,20,62,4.25E-05
Libanicoccus massiliensis,1871022,S,41,181,222,0.000152171
Collinsella aerofaciens,74426,S,55,147,202,0.000138462
Coriobacterium glomerans,33871,S,28,7,35,2.40E-05
Coriobacteriaceae bacterium 68-1-3,1531429,S,14,22,36,2.47E-05
Eggerthella sp. YY7918,502558,S,153,48,201,0.000137776
Slackia heliotrinireducens,84110,S,29,7,36,2.47E-05
Phoenicibacter massiliensis,1944646,S,17,5,22,1.51E-05
Conexibacter woesei,191495,S,255,52,307,0.000210435
Rubrobacter radiotolerans,42256,S,107,59,166,0.000113785
Rubrobacter xylanophilus,49319,S,27,5,32,2.19E-05
Acidimicrobium ferrooxidans,53635,S,182,14,196,0.000134349
Actinobacteria bacterium IMCC25003,1848255,S,74,209,283,0.000193984
Actinobacteria bacterium IMCC26077,1848755,S,43,4,47,3.22E-05
Euzebya sp. DY32-46,1608957,S,123,18,141,9.66E-05
Bacillus cereus,1396,S,22641,31080,53721,0.036823302
Bacillus thuringiensis,1428,S,223,1518,1741,0.001193376
Bacillus anthracis,1392,S,213,20844,21057,0.014433616
Bacillus mycoides,1405,S,22,10,32,2.19E-05
Bacillus atrophaeus,1452,S,4266,4385,8651,0.005929867
Bacillus velezensis,492670,S,449,2505,2954,0.002024833
Bacillus amyloliquefaciens,1390,S,43,81,124,8.50E-05
Bacillus subtilis,1423,S,347,24145,24492,0.016788152
Bacillus flexus,86664,S,826,165,991,0.000679285
Bacillus kochii,859143,S,348,46,394,0.000270069
Bacillus horikoshii,79883,S,160,19,179,0.000122696
Bacillus sp. FJAT-14266,1837130,S,99,30909,31008,0.021254574
Bacillus weihaiensis,1547283,S,58,10,68,4.66E-05
Bacillus sp. FJAT-45348,2011012,S,44,3,47,3.22E-05
Bacillus altitudinis,293387,S,35,27,62,4.25E-05
Bacillus butanolivorans,421767,S,37,5,42,2.88E-05
Bacillus megaterium,1404,S,35,25,60,4.11E-05
Bacillus sp. Lzh-5,2049935,S,32,4663,4695,0.003218209
Bacillus smithii,1479,S,26,6,32,2.19E-05
Bacillus sp. OxB-1,98228,S,26,3,29,1.99E-05
Bacillus cohnii,33932,S,21,4,25,1.71E-05
Bacillus coagulans,1398,S,17,14,31,2.12E-05
Bacillus sp. FJAT-22090,1581038,S,16,9,25,1.71E-05
Bacillus infantis,324767,S,15,1,16,1.10E-05
Bacillus sp. 1NLA3E,666686,S,14,2,16,1.10E-05
Bacillus sp. X1(2014),1565991,S,14,3,17,1.17E-05
Bacillus sp. FJAT-18017,1705566,S,12,1,13,8.91E-06
Bacillus muralis,264697,S,11,1,12,8.23E-06
Bacillus methanolicus,1471,S,11,1,12,8.23E-06
Bacillus halodurans,86665,S,10,0,10,6.85E-06
Lysinibacillus fusiformis,28031,S,52,196,248,0.000169993
Lysinibacillus sp. Marseille-P5727,2086577,S,32,9,41,2.81E-05
Geobacillus thermoleovorans,33941,S,21,79,100,6.85E-05
Geobacillus lituanicus,169283,S,18,26,44,3.02E-05
Geobacillus genomosp. 3,1921421,S,31,4,35,2.40E-05
Oceanobacillus sp. 160,2052660,S,47,37,84,5.76E-05
Anoxybacillus flavithermus,33934,S,49,37,86,5.89E-05
Parageobacillus thermoglucosidasius,1426,S,58,535,593,0.000406475
Aeribacillus pallidus,33936,S,57,13,70,4.80E-05
Terribacillus aidingensis,586416,S,34,3,37,2.54E-05
Staphylococcus epidermidis,1282,S,443,136,579,0.000396878
Staphylococcus aureus,1280,S,394,13274,13668,0.009368792
Staphylococcus hominis,1290,S,155,48,203,0.000139147
Staphylococcus capitis,29388,S,79,30,109,7.47E-05
Staphylococcus pettenkoferi,170573,S,42,6,48,3.29E-05
Staphylococcus cohnii,29382,S,40,9,49,3.36E-05
Staphylococcus lugdunensis,28035,S,35,64,99,6.79E-05
Staphylococcus simulans,1286,S,26,4,30,2.06E-05
Staphylococcus haemolyticus,1283,S,26,18,44,3.02E-05
Staphylococcus carnosus,1281,S,19,24,43,2.95E-05
Staphylococcus xylosus,1288,S,17,2,19,1.30E-05
Staphylococcus schleiferi,1295,S,15,3,18,1.23E-05
Staphylococcus auricularis,29379,S,13,1,14,9.60E-06
Staphylococcus sp. M0911,2025492,S,13,8,21,1.44E-05
Staphylococcus saprophyticus,29385,S,12,2,14,9.60E-06
Staphylococcus pasteuri,45972,S,11,2,13,8.91E-06
Jeotgalicoccus saudimassiliensis,1461582,S,280,14,294,0.000201524
Salinicoccus halodurans,407035,S,75,15,90,6.17E-05
Macrococcus caseolyticus,69966,S,20,13,33,2.26E-05
Auricoccus indicus,1849491,S,28,12,40,2.74E-05
Exiguobacterium sp. AT1b,360911,S,1356,313,1669,0.001144024
Exiguobacterium oxidotolerans,223958,S,74,107,181,0.000124067
Gemella morbillorum,29391,S,824,133,957,0.00065598
Gemella sp. ND 6198,2040624,S,36,424,460,0.000315309
Planococcus sp. MB-3u-03,2058136,S,79,330,409,0.000280351
Planococcus rifietoensis,200991,S,21,90,111,7.61E-05
Planococcus plakortidis,1038856,S,14,28,42,2.88E-05
Solibacillus silvestris,76853,S,213,134,347,0.000237853
Solibacillus sp. R5-41,2048654,S,55,24,79,5.42E-05
Sporosarcina sp. P37,1930546,S,18,47,65,4.46E-05
Paenisporosarcina sp. K2R23-3,2320858,S,45,24,69,4.73E-05
Jeotgalibacillus malaysiensis,1508404,S,38,7,45,3.08E-05
Rummeliibacillus stabekisii,241244,S,31,39,70,4.80E-05
Kurthia sp. 11kri321,1750719,S,11,13,24,1.65E-05
Paenibacillus polymyxa,1406,S,123,233,356,0.000244022
Paenibacillus mucilaginosus,61624,S,63,6,69,4.73E-05
Paenibacillus lautus,1401,S,43,11,54,3.70E-05
Paenibacillus xylanexedens,528191,S,28,2,30,2.06E-05
Paenibacillus graminis,189425,S,19,2,21,1.44E-05
Paenibacillus sp. RUD330,2023772,S,14,2,16,1.10E-05
Paenibacillus bovis,1616788,S,11,1,12,8.23E-06
Brevibacillus laterosporus,1465,S,56,110,166,0.000113785
Aneurinibacillus sp. XH2,1450761,S,18,2,20,1.37E-05
Aneurinibacillus soli,1500254,S,18,4,22,1.51E-05
Brochothrix thermosphacta,2756,S,331,64,395,0.000270755
Listeria monocytogenes,1639,S,107,500,607,0.000416071
Novibacillus thermophilus,1471761,S,161,9,170,0.000116527
Laceyella sp. FBKL4.010,2071623,S,48,5,53,3.63E-05
Tumebacillus algifaecis,1214604,S,45,26,71,4.87E-05
Tumebacillus avium,1903704,S,15,10,25,1.71E-05
Alicyclobacillus acidocaldarius,405212,S,20,0,20,1.37E-05
Streptococcus anginosus,1328,S,95,139,234,0.000160396
Streptococcus intermedius,1338,S,35,18,53,3.63E-05
Streptococcus oralis,1303,S,105,96,201,0.000137776
Streptococcus mitis,28037,S,103,60,163,0.000111729
Streptococcus sanguinis,1305,S,90,16,106,7.27E-05
Streptococcus parasanguinis,1318,S,84,16,100,6.85E-05
Streptococcus cristatus,45634,S,83,243,326,0.000223458
Streptococcus pneumoniae,1313,S,80,5130,5210,0.003571218
Streptococcus pyogenes,1314,S,80,6357,6437,0.004412271
Streptococcus sp. I-P16,1156433,S,73,74,147,0.000100762
Streptococcus sobrinus,1310,S,55,7,62,4.25E-05
Streptococcus gordonii,1302,S,54,21,75,5.14E-05
Streptococcus sp. I-G2,1156431,S,52,51,103,7.06E-05
Streptococcus equi,1336,S,27,4,31,2.12E-05
Streptococcus dysgalactiae,1334,S,22,72,94,6.44E-05
Streptococcus suis,1307,S,32,98,130,8.91E-05
Streptococcus agalactiae,1311,S,29,533,562,0.000385225
Streptococcus infantarius,102684,S,26,169,195,0.000133664
Streptococcus mutans,1309,S,13,1,14,9.60E-06
Streptococcus pseudopneumoniae,257758,S,13,12,25,1.71E-05
Lactococcus lactis,1358,S,129,778,907,0.000621707
Lactococcus raffinolactis,1366,S,38,20,58,3.98E-05
Lactococcus garvieae,1363,S,11,3,14,9.60E-06
Lactobacillus backii,375175,S,709,416,1125,0.000771136
Lactobacillus crispatus,47770,S,219,96,315,0.000215918
Lactobacillus brevis,1580,S,114,50,164,0.000112415
Lactobacillus delbrueckii,1584,S,104,246,350,0.000239909
Lactobacillus sanfranciscensis,1625,S,88,44,132,9.05E-05
Lactobacillus amylophilus,1603,S,78,45,123,8.43E-05
Lactobacillus amylovorus,1604,S,78,100,178,0.000122011
Lactobacillus reuteri,1598,S,77,22,99,6.79E-05
Lactobacillus jensenii,109790,S,71,12,83,5.69E-05
Lactobacillus salivarius,1624,S,59,19,78,5.35E-05
Lactobacillus ruminis,1623,S,56,10,66,4.52E-05
Lactobacillus sakei,1599,S,43,27,70,4.80E-05
Lactobacillus johnsonii,33959,S,42,57,99,6.79E-05
Lactobacillus gasseri,1596,S,29,12,41,2.81E-05
Lactobacillus plantarum,1590,S,28,448,476,0.000326276
Lactobacillus murinus,1622,S,22,5,27,1.85E-05
Lactobacillus allii,1847728,S,18,3,21,1.44E-05
Lactobacillus acidophilus,1579,S,17,193,210,0.000143945
Lactobacillus acetotolerans,1600,S,13,6,19,1.30E-05
Lactobacillus koreensis,637971,S,13,1,14,9.60E-06
Lactobacillus apis,303541,S,12,1,13,8.91E-06
Lactobacillus helveticus,1587,S,11,145,156,0.000106931
Lactobacillus bombi,1303590,S,10,1,11,7.54E-06
Lactobacillus kunkeei,148814,S,10,1,11,7.54E-06
Pediococcus inopinatus,114090,S,33,39,72,4.94E-05
Pediococcus acidilactici,1254,S,30,16,46,3.15E-05
Carnobacterium maltaromaticum,2751,S,311,225,536,0.000367404
Marinilactibacillus sp. 15R,1911586,S,184,61,245,0.000167936
Jeotgalibaca dankookensis,708126,S,27,13,40,2.74E-05
Leuconostoc citreum,33964,S,36,63,99,6.79E-05
Leuconostoc gelidum,1244,S,23,-23,0,0
Leuconostoc mesenteroides,1245,S,17,132,149,0.000102133
Weissella ceti,759620,S,63,103,166,0.000113785
Aerococcus christensenii,87541,S,13,120,133,9.12E-05
Aerococcus sanguinicola,119206,S,13,145,158,0.000108302
Aerococcaceae bacterium ZY16052,2036206,S,124,72,196,0.000134349
Enterococcus faecium,1352,S,85,494,579,0.000396878
Enterococcus gilvus,160453,S,36,8,44,3.02E-05
Enterococcus durans,53345,S,19,16,35,2.40E-05
Enterococcus faecalis,1351,S,13,374,387,0.000265271
Enterococcus cecorum,44008,S,10,4,14,9.60E-06
Tetragenococcus halophilus,51669,S,46,11,57,3.91E-05
Clostridium botulinum,1491,S,7329,3015,10344,0.007090342
Clostridium chauvoei,46867,S,188,43,231,0.00015834
Clostridium perfringens,1502,S,116,21,137,9.39E-05
Clostridium baratii,1561,S,115,21,136,9.32E-05
Clostridium sp. SY8519,1042156,S,66,14,80,5.48E-05
Clostridium argentinense,29341,S,60,8,68,4.66E-05
Clostridium pasteurianum,1501,S,40,5,45,3.08E-05
Clostridium sp. MF28,1702238,S,37,360,397,0.000272125
Clostridium cellulovorans,1493,S,35,4,39,2.67E-05
Clostridium septicum,1504,S,34,8,42,2.88E-05
Clostridium tyrobutyricum,1519,S,29,3,32,2.19E-05
Clostridium acetobutylicum,1488,S,17,0,17,1.17E-05
Clostridium isatidis,182773,S,14,3,17,1.17E-05
Clostridium sp. JN500901,2068654,S,14,1,15,1.03E-05
Alkaliphilus oremlandii,461876,S,65,18,83,5.69E-05
Mordavella sp. Marseille-P3756,2086584,S,67,85,152,0.000104189
Geosporobacter ferrireducens,1424294,S,54,8,62,4.25E-05
Clostridiaceae bacterium 14S0207,2082193,S,48,29,77,5.28E-05
[Eubacterium] rectale,39491,S,150,135,285,0.000195355
Lachnospiraceae bacterium oral taxon 500,712991,S,147,48,195,0.000133664
Lachnospiraceae bacterium GAM79,2109691,S,84,200,284,0.000194669
Lachnospiraceae bacterium Choco86,2109690,S,57,70,127,8.71E-05
Lachnoclostridium phocaeense,1871021,S,86,94,180,0.000123382
[Clostridium] bolteae,208479,S,55,105,160,0.000109673
[Clostridium] sphenoides,29370,S,33,13,46,3.15E-05
Lachnoclostridium phytofermentans,66219,S,30,3,33,2.26E-05
Lachnoclostridium sp. YL32,1834196,S,20,30,50,3.43E-05
Lachnoanaerobaculum umeaense,617123,S,235,69,304,0.000208378
Blautia hansenii,1322,S,39,151,190,0.000130236
Blautia sp. N6H1-15,1912897,S,25,72,97,6.65E-05
Butyrivibrio hungatei,185008,S,96,14,110,7.54E-05
Butyrivibrio fibrisolvens,831,S,41,8,49,3.36E-05
Butyrivibrio proteoclasticus,43305,S,11,1,12,8.23E-06
Anaerostipes hadrus,649756,S,153,178,331,0.000226885
Anaerotignum propionicum,28446,S,136,11,147,0.000100762
Roseburia hominis,301301,S,115,339,454,0.000311196
Cellulosilyticum lentocellum,29360,S,65,8,73,5.00E-05
