case,genus,fraction_total_reads,group,sex
23.unmapped,Dietzia,0.000387075,malt,male
27.unmapped,Dietzia,4.37E-05,malt,fem
26.unmapped,Dietzia,0.000295445,control,fem
29.unmapped,Dietzia,4.11E-05,malt,fem
25.unmapped,Dietzia,0.000222654,control,fem
19.unmapped,Dietzia,7.62E-05,control,male
22.unmapped,Dietzia,4.37E-05,malt,male
25.unmapped,Dietzia,4.20E-05,control,fem
21.unmapped,Dietzia,4.80E-05,malt,male
23.unmapped,Dietzia,0.000107045,malt,male
21.unmapped,Dietzia,0.000333124,malt,male
27.unmapped,Dietzia,7.62E-05,malt,fem
21.unmapped,Dietzia,8.05E-05,malt,male
24.unmapped,Dolichospermum,0.000145581,control,fem
28.unmapped,Dolichospermum,0.000137874,malt,fem
18.unmapped,Dolichospermum,6.08E-05,control,male
26.unmapped,Dolichospermum,0.000146438,control,fem
29.unmapped,Dolichospermum,7.71E-05,malt,fem
27.unmapped,Dolichospermum,5.82E-05,malt,fem
25.unmapped,Dolichospermum,0.000114752,control,fem
20.unmapped,Dolichospermum,0.000107901,control,male
21.unmapped,Dolichospermum,0.000189256,malt,male
17.unmapped,Dolichospermum,0.000110471,control,male
18.unmapped,Dyadobacter,0.000130167,control,male
17.unmapped,Dyadobacter,0.00013873,control,male
20.unmapped,Dyadobacter,0.000137874,control,male
23.unmapped,Dyadobacter,5.40E-05,malt,male
28.unmapped,Dyadobacter,0.000165278,malt,fem
27.unmapped,Dyadobacter,8.22E-05,malt,fem
22.unmapped,Dyadobacter,0.000170416,malt,male
19.unmapped,Dyadobacter,0.00012931,control,male
29.unmapped,Dyadobacter,0.00013873,malt,fem
26.unmapped,Edwardsiella,4.71E-05,control,fem
23.unmapped,Elizabethkingia,4.20E-05,malt,male
23.unmapped,Enterobacter,6.42E-05,malt,male
26.unmapped,Enterobacter,5.82E-05,control,fem
29.unmapped,Enterococcus,4.80E-05,malt,fem
28.unmapped,Enterococcus,4.80E-05,malt,fem
19.unmapped,Enterococcus,5.31E-05,control,male
23.unmapped,Aurantiacibacter,0.000221797,malt,male
25.unmapped,Aurantiacibacter,7.96E-05,control,fem
22.unmapped,Aurantiacibacter,4.28E-05,malt,male
27.unmapped,Aurantiacibacter,4.45E-05,malt,fem
26.unmapped,Aurantiacibacter,6.51E-05,control,fem
20.unmapped,Aurantiacibacter,4.37E-05,control,male
18.unmapped,Escherichia,0.001235729,control,male
25.unmapped,Escherichia,0.000892328,control,fem
19.unmapped,Escherichia,0.000313428,control,male
20.unmapped,Escherichia,0.000908599,control,male
29.unmapped,Escherichia,0.001045617,malt,fem
28.unmapped,Escherichia,0.000573762,malt,fem
22.unmapped,Escherichia,0.001263132,malt,male
17.unmapped,Escherichia,0.000794703,control,male
21.unmapped,Escherichia,0.002032144,malt,male
23.unmapped,Escherichia,0.002241096,malt,male
24.unmapped,Escherichia,0.000828957,control,fem
26.unmapped,Escherichia,0.001283685,control,fem
27.unmapped,Escherichia,0.000400777,malt,fem
21.unmapped,Exiguobacterium,0.000100194,malt,male
24.unmapped,Exiguobacterium,6.94E-05,control,fem
19.unmapped,Faecalibacterium,0.00022351,control,male
22.unmapped,Faecalibacterium,0.000256052,malt,male
26.unmapped,Faecalibacterium,6.59E-05,control,fem
18.unmapped,Faecalibacterium,0.000231217,control,male
25.unmapped,Faecalibacterium,7.11E-05,control,fem
17.unmapped,Faecalibacterium,0.00022351,control,male
29.unmapped,Faecalibacterium,0.000239781,malt,fem
24.unmapped,Faecalibacterium,5.82E-05,control,fem
23.unmapped,Faecalibacterium,0.000143012,malt,male
20.unmapped,Faecalibacterium,7.02E-05,control,male
27.unmapped,Faecalibacterium,0.000160996,malt,fem
28.unmapped,Faecalibacterium,0.000235499,malt,fem
21.unmapped,Faecalibacterium,0.00013873,malt,male
17.unmapped,Ferriphaselus,4.54E-05,control,male
19.unmapped,Fibrella,4.54E-05,control,male
29.unmapped,Filimonas,7.62E-05,malt,fem
24.unmapped,Filimonas,4.88E-05,control,fem
25.unmapped,Filimonas,4.11E-05,control,fem
27.unmapped,Filimonas,7.45E-05,malt,fem
26.unmapped,Filimonas,5.22E-05,control,fem
22.unmapped,Filimonas,7.79E-05,malt,male
28.unmapped,Filimonas,6.42E-05,malt,fem
18.unmapped,Filimonas,7.36E-05,control,male
19.unmapped,Filimonas,4.54E-05,control,male
17.unmapped,Filimonas,8.05E-05,control,male
21.unmapped,Filimonas,5.91E-05,malt,male
18.unmapped,Fimbriimonas,5.31E-05,control,male
17.unmapped,Fimbriimonas,4.28E-05,control,male
28.unmapped,Fimbriimonas,4.62E-05,malt,fem
22.unmapped,Fimbriimonas,4.62E-05,malt,male
29.unmapped,Fimbriimonas,5.14E-05,malt,fem
26.unmapped,Finegoldia,4.80E-05,control,fem
24.unmapped,Fischerella,5.05E-05,control,fem
26.unmapped,Fischerella,6.42E-05,control,fem
29.unmapped,Flavisolibacter,0.000188399,malt,fem
22.unmapped,Flavisolibacter,0.000183261,malt,male
26.unmapped,Flavisolibacter,9.25E-05,control,fem
19.unmapped,Flavisolibacter,0.000143012,control,male
24.unmapped,Flavisolibacter,9.25E-05,control,fem
18.unmapped,Flavisolibacter,0.000163565,control,male
28.unmapped,Flavisolibacter,0.000202101,malt,fem
23.unmapped,Flavisolibacter,6.68E-05,malt,male
17.unmapped,Flavisolibacter,0.000178979,control,male
27.unmapped,Flavisolibacter,0.000107901,malt,fem
20.unmapped,Flavisolibacter,0.000106189,control,male
21.unmapped,Flavisolibacter,7.79E-05,malt,male
25.unmapped,Flavisolibacter,9.25E-05,control,fem
17.unmapped,Flavobacterium,0.000119891,control,male
29.unmapped,Flavobacterium,0.000104476,malt,fem
18.unmapped,Flavobacterium,8.22E-05,control,male
26.unmapped,Flavobacterium,0.000130167,control,fem
22.unmapped,Flavobacterium,9.25E-05,malt,male
24.unmapped,Flavobacterium,0.000184118,control,fem
19.unmapped,Flavobacterium,9.85E-05,control,male
20.unmapped,Flavobacterium,0.000101907,control,male
28.unmapped,Flavobacterium,0.000196963,malt,fem
27.unmapped,Flavobacterium,7.88E-05,malt,fem
17.unmapped,Flavobacterium,5.14E-05,control,male
25.unmapped,Flavobacterium,4.45E-05,control,fem
21.unmapped,Flavobacterium,4.62E-05,malt,male
28.unmapped,Flavobacterium,4.71E-05,malt,fem
18.unmapped,Flavobacterium,4.54E-05,control,male
19.unmapped,Flavobacterium,4.97E-05,control,male
22.unmapped,Flavobacterium,6.42E-05,malt,male
24.unmapped,Flavobacterium,5.40E-05,control,fem
26.unmapped,Flavobacterium,5.14E-05,control,fem
19.unmapped,Flavobacterium,4.88E-05,control,male
26.unmapped,Flavobacterium,8.05E-05,control,fem
24.unmapped,Flavobacterium,7.71E-05,control,fem
27.unmapped,Flavobacterium,9.68E-05,malt,fem
18.unmapped,Flavobacterium,6.34E-05,control,male
25.unmapped,Flavobacterium,5.91E-05,control,fem
21.unmapped,Flavobacterium,0.000102763,malt,male
20.unmapped,Flavobacterium,7.79E-05,control,male
29.unmapped,Flavobacterium,6.68E-05,malt,fem
17.unmapped,Flavobacterium,4.88E-05,control,male
28.unmapped,Flavobacterium,4.88E-05,malt,fem
22.unmapped,Flavobacterium,7.02E-05,malt,male
23.unmapped,Flavobacterium,5.40E-05,malt,male
20.unmapped,Flavobacterium,4.88E-05,control,male
28.unmapped,Flavobacterium,5.48E-05,malt,fem
17.unmapped,Flavobacterium,6.42E-05,control,male
27.unmapped,Flavobacterium,0.000117321,malt,fem
22.unmapped,Flavobacterium,9.08E-05,malt,male
29.unmapped,Flavobacterium,6.34E-05,malt,fem
18.unmapped,Flavobacterium,6.34E-05,control,male
19.unmapped,Flavobacterium,7.45E-05,control,male
21.unmapped,Flavobacterium,4.11E-05,malt,male
22.unmapped,Flavobacterium,8.82E-05,malt,male
28.unmapped,Flavobacterium,6.77E-05,malt,fem
27.unmapped,Flavobacterium,6.94E-05,malt,fem
19.unmapped,Flavobacterium,8.39E-05,control,male
17.unmapped,Flavobacterium,6.94E-05,control,male
18.unmapped,Flavobacterium,5.82E-05,control,male
29.unmapped,Flavobacterium,6.34E-05,malt,fem
27.unmapped,Flavobacterium,8.73E-05,malt,fem
28.unmapped,Flavobacterium,4.45E-05,malt,fem
21.unmapped,Flavobacterium,4.37E-05,malt,male
19.unmapped,Flavobacterium,4.80E-05,control,male
27.unmapped,Flavobacterium,7.36E-05,malt,fem
21.unmapped,Flavobacterium,6.34E-05,malt,male
19.unmapped,Flavobacterium,5.14E-05,control,male
22.unmapped,Flavobacterium,5.48E-05,malt,male
20.unmapped,Flavobacterium,4.97E-05,control,male
18.unmapped,Flavobacterium,0.000117321,control,male
17.unmapped,Flavobacterium,0.000207239,control,male
22.unmapped,Flavobacterium,9.16E-05,malt,male
27.unmapped,Flavobacterium,9.16E-05,malt,fem
29.unmapped,Flavobacterium,0.000130167,malt,fem
20.unmapped,Flavobacterium,5.48E-05,control,male
19.unmapped,Flavobacterium,6.34E-05,control,male
28.unmapped,Flavobacterium,0.000115609,malt,fem
22.unmapped,Flavobacterium,6.25E-05,malt,male
29.unmapped,Flavobacterium,5.57E-05,malt,fem
17.unmapped,Flavobacterium,4.28E-05,control,male
19.unmapped,Flavobacterium,4.37E-05,control,male
27.unmapped,Flavobacterium,4.97E-05,malt,fem
17.unmapped,Flavobacterium,5.05E-05,control,male
22.unmapped,Flavobacterium,5.05E-05,malt,male
29.unmapped,Flavobacterium,5.22E-05,malt,fem
19.unmapped,Flavobacterium,6.17E-05,control,male
25.unmapped,Flavobacterium,5.40E-05,control,fem
28.unmapped,Flavobacterium,4.45E-05,malt,fem
19.unmapped,Flavobacterium,5.74E-05,control,male
21.unmapped,Flavobacterium,8.31E-05,malt,male
24.unmapped,Flavobacterium,5.65E-05,control,fem
22.unmapped,Flavobacterium,6.25E-05,malt,male
17.unmapped,Flavobacterium,5.14E-05,control,male
18.unmapped,Flavobacterium,5.91E-05,control,male
27.unmapped,Flavobacterium,0.000220085,malt,fem
29.unmapped,Flavobacterium,6.34E-05,malt,fem
26.unmapped,Flavobacterium,5.74E-05,control,fem
17.unmapped,Flavobacterium,5.14E-05,control,male
29.unmapped,Flavobacterium,7.19E-05,malt,fem
25.unmapped,Flavobacterium,7.11E-05,control,fem
28.unmapped,Flavobacterium,4.97E-05,malt,fem
27.unmapped,Flavobacterium,6.85E-05,malt,fem
19.unmapped,Flavobacterium,4.20E-05,control,male
22.unmapped,Flavobacterium,6.17E-05,malt,male
21.unmapped,Flavobacterium,4.20E-05,malt,male
18.unmapped,Flavobacterium,5.40E-05,control,male
21.unmapped,Fluviicola,0.000140443,malt,male
20.unmapped,Fluviicola,0.00013873,control,male
24.unmapped,Fluviicola,0.000135305,control,fem
17.unmapped,Fluviicola,6.85E-05,control,male
22.unmapped,Fluviicola,7.28E-05,malt,male
28.unmapped,Fluviicola,7.11E-05,malt,fem
25.unmapped,Fluviicola,0.000104476,control,fem
29.unmapped,Fluviicola,9.33E-05,malt,fem
18.unmapped,Fluviicola,6.25E-05,control,male
19.unmapped,Fluviicola,5.82E-05,control,male
26.unmapped,Fluviicola,0.000161852,control,fem
27.unmapped,Microlunatus,0.000184118,malt,fem
29.unmapped,Fuerstiella,4.88E-05,malt,fem
21.unmapped,Fuerstiella,4.37E-05,malt,male
22.unmapped,Fuerstiella,5.14E-05,malt,male
28.unmapped,Fuerstiella,5.05E-05,malt,fem
26.unmapped,Fuerstiella,4.20E-05,control,fem
20.unmapped,Fuerstiella,4.97E-05,control,male
17.unmapped,Fuerstiella,5.40E-05,control,male
25.unmapped,Fuerstiella,5.65E-05,control,fem
24.unmapped,Fuerstiella,4.20E-05,control,fem
26.unmapped,Fusobacterium,5.74E-05,control,fem
28.unmapped,Fusobacterium,4.71E-05,malt,fem
24.unmapped,Fusobacterium,4.71E-05,control,fem
21.unmapped,Gardnerella,5.82E-05,malt,male
21.unmapped,Gemella,5.65E-05,malt,male
24.unmapped,Gemella,4.20E-05,control,fem
18.unmapped,Geminocystis,6.08E-05,control,male
28.unmapped,Geminocystis,7.19E-05,malt,fem
22.unmapped,Geminocystis,4.80E-05,malt,male
17.unmapped,Geminocystis,4.28E-05,control,male
29.unmapped,Geminocystis,6.59E-05,malt,fem
20.unmapped,Geminocystis,4.88E-05,control,male
26.unmapped,Geminocystis,0.000137018,control,fem
19.unmapped,Geminocystis,7.54E-05,control,male
24.unmapped,Geminocystis,8.22E-05,control,fem
21.unmapped,Geminocystis,0.000128454,malt,male
27.unmapped,Geminocystis,5.05E-05,malt,fem
23.unmapped,Gemmata,4.11E-05,malt,male
24.unmapped,Gemmata,0.000250914,control,fem
17.unmapped,Gemmata,0.000107045,control,male
27.unmapped,Gemmata,7.02E-05,malt,fem
19.unmapped,Gemmata,0.000100194,control,male
20.unmapped,Gemmata,0.000163565,control,male
26.unmapped,Gemmata,0.000192681,control,fem
25.unmapped,Gemmata,0.000208952,control,fem
21.unmapped,Gemmata,0.000196107,malt,male
18.unmapped,Gemmata,8.65E-05,control,male
22.unmapped,Gemmata,0.000123316,malt,male
28.unmapped,Gemmata,0.000144725,malt,fem
29.unmapped,Gemmata,0.000107901,malt,fem
26.unmapped,Gemmata,9.93E-05,control,fem
25.unmapped,Gemmata,0.000126741,control,fem
18.unmapped,Gemmata,5.40E-05,control,male
22.unmapped,Gemmata,7.45E-05,malt,male
17.unmapped,Gemmata,6.34E-05,control,male
28.unmapped,Gemmata,6.42E-05,malt,fem
21.unmapped,Gemmata,9.93E-05,malt,male
19.unmapped,Gemmata,6.68E-05,control,male
20.unmapped,Gemmata,0.000120747,control,male
29.unmapped,Gemmata,5.91E-05,malt,fem
24.unmapped,Gemmata,9.16E-05,control,fem
29.unmapped,Gemmatirosa,4.28E-05,malt,fem
17.unmapped,Gemmobacter,0.000102763,control,male
26.unmapped,Gemmobacter,7.71E-05,control,fem
24.unmapped,Gemmobacter,7.62E-05,control,fem
25.unmapped,Gemmobacter,9.76E-05,control,fem
18.unmapped,Gemmobacter,0.000106189,control,male
21.unmapped,Gemmobacter,7.79E-05,malt,male
19.unmapped,Gemmobacter,0.000101051,control,male
29.unmapped,Gemmobacter,0.000161852,malt,fem
20.unmapped,Gemmobacter,5.82E-05,control,male
28.unmapped,Gemmobacter,0.000142156,malt,fem
22.unmapped,Gemmobacter,0.000119891,malt,male
27.unmapped,Gemmobacter,4.54E-05,malt,fem
17.unmapped,Geoalkalibacter,0.000114752,control,male
27.unmapped,Geoalkalibacter,5.91E-05,malt,fem
29.unmapped,Geoalkalibacter,0.000100194,malt,fem
28.unmapped,Geoalkalibacter,8.39E-05,malt,fem
19.unmapped,Geoalkalibacter,0.000111327,control,male
18.unmapped,Geoalkalibacter,8.05E-05,control,male
22.unmapped,Geoalkalibacter,0.000116465,malt,male
28.unmapped,Geobacter,6.08E-05,malt,fem
22.unmapped,Geobacter,5.74E-05,malt,male
19.unmapped,Geobacter,4.37E-05,control,male
27.unmapped,Geodermatophilus,4.45E-05,malt,fem
20.unmapped,Gloeomargarita,4.20E-05,control,male
26.unmapped,Gloeomargarita,4.54E-05,control,fem
24.unmapped,Gloeomargarita,4.62E-05,control,fem
29.unmapped,Gluconobacter,4.62E-05,malt,fem
22.unmapped,Gluconobacter,5.14E-05,malt,male
17.unmapped,Gluconobacter,4.28E-05,control,male
28.unmapped,Haliangium,0.000171272,malt,fem
26.unmapped,Haliangium,5.40E-05,control,fem
27.unmapped,Haliangium,5.05E-05,malt,fem
17.unmapped,Haliangium,8.73E-05,control,male
19.unmapped,Haliangium,6.25E-05,control,male
29.unmapped,Haliangium,9.68E-05,malt,fem
18.unmapped,Haliangium,0.000108758,control,male
22.unmapped,Haliangium,7.62E-05,malt,male
18.unmapped,Haliscomenobacter,0.000116465,control,male
24.unmapped,Haliscomenobacter,7.45E-05,control,fem
23.unmapped,Haliscomenobacter,4.11E-05,malt,male
26.unmapped,Haliscomenobacter,6.77E-05,control,fem
29.unmapped,Haliscomenobacter,0.000140443,malt,fem
17.unmapped,Haliscomenobacter,0.000132736,control,male
20.unmapped,Haliscomenobacter,6.77E-05,control,male
25.unmapped,Haliscomenobacter,5.65E-05,control,fem
28.unmapped,Haliscomenobacter,0.000135305,malt,fem
19.unmapped,Haliscomenobacter,0.000109614,control,male
21.unmapped,Haliscomenobacter,4.97E-05,malt,male
22.unmapped,Haliscomenobacter,0.000160139,malt,male
27.unmapped,Halomonas,8.99E-05,malt,fem
27.unmapped,Halomonas,5.82E-05,malt,fem
27.unmapped,Halomonas,0.000493264,malt,fem
26.unmapped,Halomonas,0.001216889,control,fem
19.unmapped,Halomonas,0.000827245,control,male
28.unmapped,Halomonas,0.000671387,malt,fem
29.unmapped,Halomonas,0.000866637,malt,fem
23.unmapped,Halomonas,0.000218372,malt,male
20.unmapped,Halomonas,0.001127827,control,male
21.unmapped,Halomonas,0.001099567,malt,male
18.unmapped,Halomonas,0.000646552,control,male
25.unmapped,Halomonas,0.000885477,control,fem
22.unmapped,Halomonas,0.000733045,malt,male
24.unmapped,Halomonas,0.001028489,control,fem
17.unmapped,Halomonas,0.000643127,control,male
19.unmapped,Halothece,4.80E-05,control,male
26.unmapped,Halothece,0.000137018,control,fem
22.unmapped,Helicobacter,7.88E-05,malt,male
17.unmapped,Helicobacter,0.000119034,control,male
26.unmapped,Helicobacter,0.000131023,control,fem
19.unmapped,Helicobacter,4.80E-05,control,male
18.unmapped,Helicobacter,9.42E-05,control,male
27.unmapped,Helicobacter,9.33E-05,malt,fem
28.unmapped,Helicobacter,9.51E-05,malt,fem
21.unmapped,Helicobacter,0.000144725,malt,male
29.unmapped,Helicobacter,0.00017641,malt,fem
25.unmapped,Helicobacter,5.65E-05,control,fem
24.unmapped,Helicobacter,7.88E-05,control,fem
20.unmapped,Helicobacter,4.88E-05,control,male
17.unmapped,Herbaspirillum,0.000619149,control,male
19.unmapped,Herbaspirillum,0.000423042,control,male
20.unmapped,Herbaspirillum,0.001193767,control,male
22.unmapped,Herbaspirillum,0.000623431,malt,male
23.unmapped,Herbaspirillum,0.00036481,malt,male
24.unmapped,Herbaspirillum,0.000463291,control,fem
18.unmapped,Herbaspirillum,0.000526662,control,male
28.unmapped,Herbaspirillum,0.000630282,malt,fem
29.unmapped,Herbaspirillum,0.000481275,malt,fem
26.unmapped,Herbaspirillum,0.000300583,control,fem
25.unmapped,Herbaspirillum,0.000458153,control,fem
27.unmapped,Herbaspirillum,0.00056006,malt,fem
22.unmapped,Herminiimonas,5.22E-05,malt,male
17.unmapped,Herminiimonas,7.54E-05,control,male
21.unmapped,Herminiimonas,6.34E-05,malt,male
20.unmapped,Herminiimonas,5.82E-05,control,male
26.unmapped,Herminiimonas,5.65E-05,control,fem
29.unmapped,Herminiimonas,5.65E-05,malt,fem
18.unmapped,Herminiimonas,5.48E-05,control,male
19.unmapped,Herminiimonas,4.97E-05,control,male
28.unmapped,Herminiimonas,8.31E-05,malt,fem
25.unmapped,Herminiimonas,5.22E-05,control,fem
21.unmapped,Humibacter,0.000116465,malt,male
29.unmapped,Hydrogenophaga,4.54E-05,malt,fem
24.unmapped,Hydrogenophaga,5.48E-05,control,fem
17.unmapped,Hydrogenophaga,4.62E-05,control,male
20.unmapped,Hydrogenophaga,4.88E-05,control,male
28.unmapped,Hydrogenophaga,6.08E-05,malt,fem
22.unmapped,Hydrogenophaga,4.45E-05,malt,male
26.unmapped,Hydrogenophaga,0.000123316,control,fem
25.unmapped,Hydrogenophaga,0.000319423,control,fem
21.unmapped,Hydrogenophaga,4.45E-05,malt,male
19.unmapped,Hydrogenophaga,4.20E-05,control,male
17.unmapped,Hydrogenophaga,0.000137018,control,male
25.unmapped,Hydrogenophaga,0.000137874,control,fem
26.unmapped,Hydrogenophaga,5.57E-05,control,fem
20.unmapped,Hydrogenophaga,0.000174698,control,male
21.unmapped,Hydrogenophaga,6.51E-05,malt,male
29.unmapped,Hydrogenophaga,0.000172985,malt,fem
27.unmapped,Hydrogenophaga,9.68E-05,malt,fem
18.unmapped,Hydrogenophaga,0.000158427,control,male
19.unmapped,Hydrogenophaga,0.000449589,control,male
23.unmapped,Hydrogenophaga,9.42E-05,malt,male
22.unmapped,Hydrogenophaga,0.000143012,malt,male
28.unmapped,Hydrogenophaga,0.000126741,malt,fem
24.unmapped,Hydrogenophaga,7.02E-05,control,fem
18.unmapped,Hydrogenophaga,5.14E-05,control,male
19.unmapped,Hydrogenophaga,5.91E-05,control,male
25.unmapped,Hydrogenophaga,5.48E-05,control,fem
22.unmapped,Ephemeroptericola,0.000116465,malt,male
18.unmapped,Ephemeroptericola,0.000139587,control,male
29.unmapped,Ephemeroptericola,0.000125029,malt,fem
17.unmapped,Ephemeroptericola,0.000107045,control,male
19.unmapped,Ephemeroptericola,9.85E-05,control,male
28.unmapped,Ephemeroptericola,0.000126741,malt,fem
27.unmapped,Ephemeroptericola,4.45E-05,malt,fem
26.unmapped,Hyphomicrobium,4.80E-05,control,fem
27.unmapped,Janibacter,5.65E-05,malt,fem
28.unmapped,Janthinobacterium,4.45E-05,malt,fem
19.unmapped,Janthinobacterium,4.71E-05,control,male
24.unmapped,Janthinobacterium,5.31E-05,control,fem
21.unmapped,Janthinobacterium,6.42E-05,malt,male
18.unmapped,Janthinobacterium,8.73E-05,control,male
20.unmapped,Janthinobacterium,4.62E-05,control,male
19.unmapped,Janthinobacterium,0.000113896,control,male
24.unmapped,Janthinobacterium,6.08E-05,control,fem
28.unmapped,Janthinobacterium,6.51E-05,malt,fem
17.unmapped,Janthinobacterium,7.62E-05,control,male
22.unmapped,Janthinobacterium,8.73E-05,malt,male
21.unmapped,Janthinobacterium,0.000100194,malt,male
26.unmapped,Janthinobacterium,6.77E-05,control,fem
29.unmapped,Janthinobacterium,7.11E-05,malt,fem
17.unmapped,Janthinobacterium,7.02E-05,control,male
26.unmapped,Janthinobacterium,7.19E-05,control,fem
28.unmapped,Janthinobacterium,7.19E-05,malt,fem
19.unmapped,Janthinobacterium,6.59E-05,control,male
21.unmapped,Janthinobacterium,8.65E-05,malt,male
18.unmapped,Janthinobacterium,7.02E-05,control,male
20.unmapped,Janthinobacterium,7.02E-05,control,male
27.unmapped,Janthinobacterium,4.11E-05,malt,fem
29.unmapped,Janthinobacterium,9.51E-05,malt,fem
22.unmapped,Janthinobacterium,5.31E-05,malt,male
21.unmapped,Janthinobacterium,4.54E-05,malt,male
26.unmapped,Janthinobacterium,6.08E-05,control,fem
22.unmapped,Janthinobacterium,5.48E-05,malt,male
24.unmapped,Janthinobacterium,4.28E-05,control,fem
19.unmapped,Janthinobacterium,6.42E-05,control,male
17.unmapped,Janthinobacterium,4.80E-05,control,male
18.unmapped,Janthinobacterium,5.40E-05,control,male
28.unmapped,Janthinobacterium,6.59E-05,malt,fem
29.unmapped,Janthinobacterium,6.25E-05,malt,fem
21.unmapped,Ketogulonicigenium,5.91E-05,malt,male
26.unmapped,Kiritimatiella,6.42E-05,control,fem
25.unmapped,Kiritimatiella,4.88E-05,control,fem
29.unmapped,Kiritimatiella,7.88E-05,malt,fem
19.unmapped,Kiritimatiella,4.54E-05,control,male
22.unmapped,Kiritimatiella,6.08E-05,malt,male
24.unmapped,Kiritimatiella,6.17E-05,control,fem
28.unmapped,Kiritimatiella,7.02E-05,malt,fem
21.unmapped,Kiritimatiella,4.71E-05,malt,male
18.unmapped,Kiritimatiella,6.42E-05,control,male
17.unmapped,Kiritimatiella,6.17E-05,control,male
21.unmapped,Klebsiella,4.97E-05,malt,male
22.unmapped,Klebsiella,9.59E-05,malt,male
20.unmapped,Klebsiella,0.000107901,control,male
26.unmapped,Klebsiella,0.000112183,control,fem
19.unmapped,Klebsiella,8.05E-05,control,male
28.unmapped,Klebsiella,0.00010362,malt,fem
25.unmapped,Klebsiella,0.000104476,control,fem
24.unmapped,Klebsiella,6.68E-05,control,fem
27.unmapped,Klebsiella,0.000333124,malt,fem
23.unmapped,Klebsiella,5.57E-05,malt,male
29.unmapped,Klebsiella,0.000207239,malt,fem
18.unmapped,Klebsiella,6.25E-05,control,male
17.unmapped,Klebsiella,8.39E-05,control,male
25.unmapped,Kocuria,4.62E-05,control,fem
20.unmapped,Kocuria,4.71E-05,control,male
26.unmapped,Kocuria,4.97E-05,control,fem
21.unmapped,Kocuria,5.22E-05,malt,male
24.unmapped,Kocuria,5.91E-05,control,fem
21.unmapped,Kocuria,0.000168703,malt,male
27.unmapped,Kocuria,4.71E-05,malt,fem
18.unmapped,Kocuria,4.11E-05,control,male
20.unmapped,Kocuria,8.31E-05,control,male
23.unmapped,Kocuria,4.28E-05,malt,male
17.unmapped,Kocuria,8.82E-05,control,male
25.unmapped,Kocuria,4.37E-05,control,fem
26.unmapped,Kocuria,0.000137874,control,fem
25.unmapped,Kocuria,4.37E-05,control,fem
21.unmapped,Kocuria,6.34E-05,malt,male
20.unmapped,Kocuria,7.19E-05,control,male
26.unmapped,Kocuria,9.16E-05,control,fem
22.unmapped,Kordia,8.22E-05,malt,male
18.unmapped,Kordia,0.000160139,control,male
20.unmapped,Kordia,0.000158427,control,male
21.unmapped,Kordia,0.000248345,malt,male
27.unmapped,Kordia,8.05E-05,malt,fem
17.unmapped,Kordia,0.00015072,control,male
19.unmapped,Kordia,0.000144725,control,male
25.unmapped,Kordia,0.000120747,control,fem
28.unmapped,Kordia,0.000199532,malt,fem
26.unmapped,Kordia,0.000273179,control,fem
23.unmapped,Kordia,6.94E-05,malt,male
29.unmapped,Kordia,0.000139587,malt,fem
24.unmapped,Kordia,0.000199532,control,fem
26.unmapped,Loigolactobacillus,8.48E-05,control,fem
21.unmapped,Loigolactobacillus,8.22E-05,malt,male
28.unmapped,Loigolactobacillus,8.22E-05,malt,fem
24.unmapped,Lactobacillus,6.08E-05,control,fem
17.unmapped,Lactobacillus,6.68E-05,control,male
26.unmapped,Lactobacillus,4.88E-05,control,fem
29.unmapped,Lactobacillus,5.05E-05,malt,fem
18.unmapped,Lactobacillus,4.45E-05,control,male
22.unmapped,Lactobacillus,4.71E-05,malt,male
19.unmapped,Lactobacillus,4.11E-05,control,male
18.unmapped,Lactococcus,5.48E-05,control,male
28.unmapped,Lactococcus,4.45E-05,malt,fem
19.unmapped,Lactococcus,7.79E-05,control,male
17.unmapped,Lactococcus,5.74E-05,control,male
25.unmapped,Lactococcus,4.11E-05,control,fem
28.unmapped,Lacunisphaera,7.79E-05,malt,fem
27.unmapped,Lacunisphaera,4.37E-05,malt,fem
19.unmapped,Lacunisphaera,6.85E-05,control,male
29.unmapped,Lacunisphaera,8.65E-05,malt,fem
18.unmapped,Lacunisphaera,8.48E-05,control,male
17.unmapped,Lacunisphaera,0.000101907,control,male
22.unmapped,Lacunisphaera,9.08E-05,malt,male
21.unmapped,Lawsonella,0.000100194,malt,male
24.unmapped,Lawsonella,9.16E-05,control,fem
26.unmapped,Lawsonella,8.73E-05,control,fem
17.unmapped,Leadbetterella,4.88E-05,control,male
28.unmapped,Leadbetterella,4.45E-05,malt,fem
18.unmapped,Leadbetterella,4.37E-05,control,male
29.unmapped,Leadbetterella,9.59E-05,malt,fem
22.unmapped,Leadbetterella,6.59E-05,malt,male
18.unmapped,Legionella,8.14E-05,control,male
28.unmapped,Legionella,9.85E-05,malt,fem
22.unmapped,Legionella,7.19E-05,malt,male
24.unmapped,Legionella,8.73E-05,control,fem
27.unmapped,Legionella,0.000228648,malt,fem
25.unmapped,Legionella,0.000208952,control,fem
26.unmapped,Legionella,6.68E-05,control,fem
29.unmapped,Legionella,0.000220085,malt,fem
19.unmapped,Legionella,0.000177267,control,male
17.unmapped,Legionella,0.000116465,control,male
21.unmapped,Legionella,8.56E-05,malt,male
20.unmapped,Legionella,7.71E-05,control,male
29.unmapped,Legionella,4.28E-05,malt,fem
